"","enriched","depleted","gene_id","GeneSymbol_Mouse","uniprot_protein_name","coronalIshAvailable","coronalIshConsistent","GeneSymbol_Human","EnrichedVSDepleted"
"132","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000017188","Ccdc56","Cytochrome c oxidase assembly factor 3 homolog, mitochondrial",0,0,"CCDC56","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"133","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000028755","Cda","Cytidine deaminase",1,1,"CDA","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"134","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000070493","Chchd2","Coiled-coil-helix-coiled-coil-helix domain-containing protein 2",1,0,"CHCHD2","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"135","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000054196","Cthrc1","Collagen triple helix repeat-containing protein 1",1,1,"CTHRC1","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"136","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000034164","Emid1","EMI domain-containing protein 1",0,0,"EMID1","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"137","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000029869","Ephb6","Ephrin type-B receptor 6",1,1,"EPHB6","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"138","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000003346","Fam108a","Alpha/beta hydrolase domain-containing protein 17A",0,0,"FAM108A","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"139","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000066705","Fxyd6","FXYD domain-containing ion transport regulator 6",1,0,"FXYD6","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"140","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000009633","G0s2","G0/G1 switch protein 2",0,0,"G0S2","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"141","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000024907","Gal","Galanin peptides",1,1,"GAL","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"142","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000085035","Gm12031","-",0,0,"GM12031","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"143","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000080242","Gm15487","-",0,0,"GM15487","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"144","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000091932","Gm17596","-",0,0,"GM17596","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"145","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000073411","H2-D1","H-2 class I histocompatibility antigen, D-B alpha chain",0,0,"H2-D1","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"146","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000023904","Hcfc1r1","Host cell factor C1 regulator 1",0,0,"HCFC1R1","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"147","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000043445","Pgp","Phosphoglycolate phosphatase",0,0,"PGP","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"148","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000018217","Pmp22","-",1,1,"PMP22","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"149","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000031897","Psmb10","Proteasome subunit beta type-10",0,0,"PSMB10","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"150","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000003380","Rabac1","Prenylated Rab acceptor protein 1",0,0,"RABAC1","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"151","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000018012","Rac3","Ras-related C3 botulinum toxin substrate 3",0,0,"RAC3","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"152","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000029641","Rasl11a","Ras-like protein family member 11A",1,1,"RASL11A","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"153","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000032387","Rbpms2","RNA-binding protein with multiple splicing 2",1,1,"RBPMS2","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"154","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000029101","Rgs12","Regulator of G-protein signaling 12",1,1,"RGS12","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"155","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000071415","Rpl23","60S ribosomal protein L23",1,0,"RPL23","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"156","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000001227","Sema6b","Semaphorin-6B",0,0,"SEMA6B","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"157","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000000753","Serpinf1","Pigment epithelium-derived factor",1,1,"SERPINF1","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"158","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000030089","Slc41a3","Solute carrier family 41 member 3",1,1,"SLC41A3","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"159","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000052026","Slc6a7","Sodium-dependent proline transporter",1,0,"SLC6A7","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"160","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000027581","Stmn3","Stathmin-3; Stathmin",0,0,"STMN3","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"161","ca4","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ENSMUSG00000037428","Vgf","-",1,0,"VGF","ca4__VS__ca3_d-ca3_v-ca2-ca1_d-ca1_v"
"162","ca3_d-ca3_v-ca2-ca1_d-ca1_v","ca4","ENSMUSG00000029153","Ociad2","OCIA domain-containing protein 2",1,1,"OCIAD2","ca3_d-ca3_v-ca2-ca1_d-ca1_v__VS__ca4"
"163","ca3_d","ca3_v","ENSMUSG00000046186","Cd109","CD109 antigen",1,1,"CD109","ca3_d__VS__ca3_v"
"164","ca3_d","ca3_v","ENSMUSG00000027350","Chgb","Secretogranin-1",1,0,"CHGB","ca3_d__VS__ca3_v"
"165","ca3_d","ca3_v","ENSMUSG00000032537","Ephb1","Ephrin type-B receptor 1",1,1,"EPHB1","ca3_d__VS__ca3_v"
"166","ca3_d","ca3_v","ENSMUSG00000019762","Iyd","Iodotyrosine deiodinase 1",1,1,"IYD","ca3_d__VS__ca3_v"
"167","ca3_d","ca3_v","ENSMUSG00000055044","Pdlim1","PDZ and LIM domain protein 1",0,0,"PDLIM1","ca3_d__VS__ca3_v"
"168","ca3_d","ca3_v","ENSMUSG00000021948","Prkcd","Protein kinase C delta type; Protein kinase C",1,1,"PRKCD","ca3_d__VS__ca3_v"
"169","ca3_d","ca3_v","ENSMUSG00000032487","Ptgs2","Prostaglandin G/H synthase 2",1,1,"PTGS2","ca3_d__VS__ca3_v"
"170","ca3_d","ca3_v","ENSMUSG00000005089","Slc1a2","Amino acid transporter; Excitatory amino acid transporter 2",1,1,"SLC1A2","ca3_d__VS__ca3_v"
"171","ca3_d","ca3_v","ENSMUSG00000050663","Trhde","Thyrotropin-releasing hormone-degrading ectoenzyme",1,1,"TRHDE","ca3_d__VS__ca3_v"
"172","ca3_v","ca3_d","ENSMUSG00000020953","Coch","Cochlin",1,1,"COCH","ca3_v__VS__ca3_d"
"173","ca3_v","ca3_d","ENSMUSG00000091243","Vgll3","-",0,0,"VGLL3","ca3_v__VS__ca3_d"
"174","ca2","ca3_d-ca3_v","ENSMUSG00000078612","1700024P16Rik","Uncharacterized protein C1orf168 homolog",0,0,"1700024P16RIK","ca2__VS__ca3_d-ca3_v"
"175","ca2","ca3_d-ca3_v","ENSMUSG00000022840","Adcy5","Adenylate cyclase type 5",1,1,"ADCY5","ca2__VS__ca3_d-ca3_v"
"176","ca2","ca3_d-ca3_v","ENSMUSG00000021125","Arg2","Arginase-2, mitochondrial",1,1,"ARG2","ca2__VS__ca3_d-ca3_v"
"177","ca2","ca3_d-ca3_v","ENSMUSG00000021991","Cacna2d3","Voltage-dependent calcium channel subunit alpha-2/delta-3",1,0,"CACNA2D3","ca2__VS__ca3_d-ca3_v"
"178","ca2","ca3_d-ca3_v","ENSMUSG00000040373","Cacng5","Voltage-dependent calcium channel gamma subunit; Voltage-dependent calcium channel gamma-5 subunit",1,1,"CACNG5","ca2__VS__ca3_d-ca3_v"
"179","ca2","ca3_d-ca3_v","ENSMUSG00000038128","Camk4","-",1,0,"CAMK4","ca2__VS__ca3_d-ca3_v"
"180","ca2","ca3_d-ca3_v","ENSMUSG00000026676","Ccdc3","Coiled-coil domain-containing protein 3",1,1,"CCDC3","ca2__VS__ca3_d-ca3_v"
"181","ca2","ca3_d-ca3_v","ENSMUSG00000021097","Clmn","Calmin",1,1,"CLMN","ca2__VS__ca3_d-ca3_v"
"182","ca2","ca3_d-ca3_v","ENSMUSG00000030560","Ctsc","Dipeptidyl peptidase 1",0,0,"CTSC","ca2__VS__ca3_d-ca3_v"
"183","ca2","ca3_d-ca3_v","ENSMUSG00000034765","Dusp5","Dual specificity protein phosphatase",1,0,"DUSP5","ca2__VS__ca3_d-ca3_v"
"184","ca2","ca3_d-ca3_v","ENSMUSG00000036611","Eepd1","Endonuclease/exonuclease/phosphatase family domain-containing protein 1",1,1,"EEPD1","ca2__VS__ca3_d-ca3_v"
"185","ca2","ca3_d-ca3_v","ENSMUSG00000039629","Fam40b","Striatin-interacting proteins 2",1,1,"FAM40B","ca2__VS__ca3_d-ca3_v"
"186","ca2","ca3_d-ca3_v","ENSMUSG00000032265","Fam46a","-",1,1,"FAM46A","ca2__VS__ca3_d-ca3_v"
"187","ca2","ca3_d-ca3_v","ENSMUSG00000037225","Fgf2","Fibroblast growth factor 2; Fibroblast growth factor",0,0,"FGF2","ca2__VS__ca3_d-ca3_v"
"188","ca2","ca3_d-ca3_v","ENSMUSG00000029337","Fgf5","Fibroblast growth factor 5",0,0,"FGF5","ca2__VS__ca3_d-ca3_v"
"189","ca2","ca3_d-ca3_v","ENSMUSG00000082328","Gm13921","-",0,0,"GM13921","ca2__VS__ca3_d-ca3_v"
"190","ca2","ca3_d-ca3_v","ENSMUSG00000041468","Gpr12","G-protein coupled receptor 12",1,1,"GPR12","ca2__VS__ca3_d-ca3_v"
"191","ca2","ca3_d-ca3_v","ENSMUSG00000025068","Gsto1","Glutathione S-transferase omega-1",1,1,"GSTO1","ca2__VS__ca3_d-ca3_v"
"192","ca2","ca3_d-ca3_v","ENSMUSG00000021484","Lman2","Vesicular integral-membrane protein VIP36",1,0,"LMAN2","ca2__VS__ca3_d-ca3_v"
"193","ca2","ca3_d-ca3_v","ENSMUSG00000054720","Lrrc8c","Volume-regulated anion channel subunit LRRC8C",0,0,"LRRC8C","ca2__VS__ca3_d-ca3_v"
"194","ca2","ca3_d-ca3_v","ENSMUSG00000000957","Mmp14","Matrix metalloproteinase-14",1,1,"MMP14","ca2__VS__ca3_d-ca3_v"
"195","ca2","ca3_d-ca3_v","ENSMUSG00000027634","Ndrg3","Protein NDRG3",1,0,"NDRG3","ca2__VS__ca3_d-ca3_v"
"196","ca2","ca3_d-ca3_v","ENSMUSG00000031837","Necab2","N-terminal EF-hand calcium-binding protein 2",1,1,"NECAB2","ca2__VS__ca3_d-ca3_v"
"197","ca2","ca3_d-ca3_v","ENSMUSG00000020591","Ntsr2","Neurotensin receptor type 2",0,0,"NTSR2","ca2__VS__ca3_d-ca3_v"
"198","ca2","ca3_d-ca3_v","ENSMUSG00000049148","Plcxd3","-",0,0,"PLCXD3","ca2__VS__ca3_d-ca3_v"
"199","ca2","ca3_d-ca3_v","ENSMUSG00000039405","Prss23","Serine protease 23",1,1,"PRSS23","ca2__VS__ca3_d-ca3_v"
"200","ca2","ca3_d-ca3_v","ENSMUSG00000034910","Pygo1","Pygopus homolog 1",0,0,"PYGO1","ca2__VS__ca3_d-ca3_v"
"201","ca2","ca3_d-ca3_v","ENSMUSG00000052087","Rgs14","Regulator of G-protein signaling 14",1,1,"RGS14","ca2__VS__ca3_d-ca3_v"
"202","ca2","ca3_d-ca3_v","ENSMUSG00000026678","Rgs5","Regulator of G-protein signaling 5",1,1,"RGS5","ca2__VS__ca3_d-ca3_v"
"203","ca2","ca3_d-ca3_v","ENSMUSG00000033208","S100b","Protein S100-B; Protein S100",1,1,"S100B","ca2__VS__ca3_d-ca3_v"
"204","ca2","ca3_d-ca3_v","ENSMUSG00000023032","Slc4a8","Electroneutral sodium bicarbonate exchanger 1",0,0,"SLC4A8","ca2__VS__ca3_d-ca3_v"
"205","ca2","ca3_d-ca3_v","ENSMUSG00000036169","Sostdc1","Sclerostin domain-containing protein 1",1,1,"SOSTDC1","ca2__VS__ca3_d-ca3_v"
"206","ca2","ca3_d-ca3_v","ENSMUSG00000026425","Srgap2","SLIT-ROBO Rho GTPase-activating protein 2",0,0,"SRGAP2","ca2__VS__ca3_d-ca3_v"
"207","ca2","ca3_d-ca3_v","ENSMUSG00000003418","St8sia6","Alpha-2,8-sialyltransferase 8F",1,1,"ST8SIA6","ca2__VS__ca3_d-ca3_v"
"208","ca2","ca3_d-ca3_v","ENSMUSG00000046027","Stard5","StAR-related lipid transfer protein 5",1,1,"STARD5","ca2__VS__ca3_d-ca3_v"
"209","ca2","ca3_d-ca3_v","ENSMUSG00000022829","Stxbp5l","Syntaxin-binding protein 5-like",0,0,"STXBP5L","ca2__VS__ca3_d-ca3_v"
"210","ca2","ca3_d-ca3_v","ENSMUSG00000003824","Syce2","Synaptonemal complex central element protein 2",0,0,"SYCE2","ca2__VS__ca3_d-ca3_v"
"211","ca2","ca3_d-ca3_v","ENSMUSG00000030782","Tgfb1i1","Transforming growth factor beta-1-induced transcript 1 protein",0,0,"TGFB1I1","ca2__VS__ca3_d-ca3_v"
"212","ca2","ca3_d-ca3_v","ENSMUSG00000021614","Vcan","-",1,1,"VCAN","ca2__VS__ca3_d-ca3_v"
"213","ca2","ca3_d-ca3_v","ENSMUSG00000024076","Vit","Vitrin",0,0,"VIT","ca2__VS__ca3_d-ca3_v"
"214","ca2","ca3_d-ca3_v","ENSMUSG00000070866","Zfp804a","Zinc finger protein 804A",1,1,"ZFP804A","ca2__VS__ca3_d-ca3_v"
"215","ca1_d-ca1_v","ca2-ca3_d-ca3_v","ENSMUSG00000049946","BC030500","-",0,0,"BC030500","ca1_d-ca1_v__VS__ca2-ca3_d-ca3_v"
"216","ca1_d-ca1_v","ca2-ca3_d-ca3_v","ENSMUSG00000029330","Cds1","Phosphatidate cytidylyltransferase 1",1,1,"CDS1","ca1_d-ca1_v__VS__ca2-ca3_d-ca3_v"
"217","ca1_d-ca1_v","ca2-ca3_d-ca3_v","ENSMUSG00000026841","Fibcd1","Fibrinogen C domain-containing protein 1",1,1,"FIBCD1","ca1_d-ca1_v__VS__ca2-ca3_d-ca3_v"
"218","ca1_d-ca1_v","ca2-ca3_d-ca3_v","ENSMUSG00000028184","Lphn2","Adhesion G protein-coupled receptor L2",1,0,"LPHN2","ca1_d-ca1_v__VS__ca2-ca3_d-ca3_v"
"219","ca1_d-ca1_v","ca2-ca3_d-ca3_v","ENSMUSG00000003746","Man1a","alpha-1,2-Mannosidase; Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",1,1,"MAN1A","ca1_d-ca1_v__VS__ca2-ca3_d-ca3_v"
"220","ca1_d-ca1_v","ca2-ca3_d-ca3_v","ENSMUSG00000041708","Mpped1","Metallophosphoesterase domain-containing protein 1",1,1,"MPPED1","ca1_d-ca1_v__VS__ca2-ca3_d-ca3_v"
"221","ca1_d-ca1_v","ca2-ca3_d-ca3_v","ENSMUSG00000037362","Nov","Protein NOV homolog",1,1,"NOV","ca1_d-ca1_v__VS__ca2-ca3_d-ca3_v"
"222","ca1_d-ca1_v","ca2-ca3_d-ca3_v","ENSMUSG00000027674","Pex5l","PEX5-related protein",1,0,"PEX5L","ca1_d-ca1_v__VS__ca2-ca3_d-ca3_v"
"223","ca1_d-ca1_v","ca2-ca3_d-ca3_v","ENSMUSG00000038331","Satb2","DNA-binding protein SATB2; DNA-binding protein SATB",1,1,"SATB2","ca1_d-ca1_v__VS__ca2-ca3_d-ca3_v"
"224","ca1_d-ca1_v","ca2-ca3_d-ca3_v","ENSMUSG00000042063","Zfp386","-",0,0,"ZFP386","ca1_d-ca1_v__VS__ca2-ca3_d-ca3_v"
"225","ca1_d","ca1_v","ENSMUSG00000060424","2610017I09Rik","-",1,1,"2610017I09RIK","ca1_d__VS__ca1_v"
"226","ca1_d","ca1_v","ENSMUSG00000078453","3110003A17Rik","-",0,0,"3110003A17RIK","ca1_d__VS__ca1_v"
"227","ca1_d","ca1_v","ENSMUSG00000022425","Enpp2","Ectonucleotide pyrophosphatase/phosphodiesterase family member 2",1,1,"ENPP2","ca1_d__VS__ca1_v"
"228","ca1_d","ca1_v","ENSMUSG00000091367","Gm17711","-",0,0,"GM17711","ca1_d__VS__ca1_v"
"229","ca1_d","ca1_v","ENSMUSG00000027827","Kcnab1","Voltage-gated potassium channel subunit beta-1",1,0,"KCNAB1","ca1_d__VS__ca1_v"
"230","ca1_d","ca1_v","ENSMUSG00000059742","Kcnh7","Potassium voltage-gated channel subfamily H member 7",1,1,"KCNH7","ca1_d__VS__ca1_v"
"231","ca1_d","ca1_v","ENSMUSG00000036782","Klhl13","Kelch-like protein 13",0,0,"KLHL13","ca1_d__VS__ca1_v"
"232","ca1_d","ca1_v","ENSMUSG00000040624","Plekhg1","-",1,1,"PLEKHG1","ca1_d__VS__ca1_v"
"233","ca1_d","ca1_v","ENSMUSG00000090125","Pou3f1","POU domain, class 3, transcription factor 1",0,0,"POU3F1","ca1_d__VS__ca1_v"
"234","ca1_d","ca1_v","ENSMUSG00000049281","Scn3b","Sodium channel subunit beta-3",1,0,"SCN3B","ca1_d__VS__ca1_v"
"235","ca1_d","ca1_v","ENSMUSG00000039474","Wfs1","Wolframin",1,1,"WFS1","ca1_d__VS__ca1_v"
"236","ca1_d","ca1_v","ENSMUSG00000039470","Zdhhc2","Palmitoyltransferase ZDHHC2",1,1,"ZDHHC2","ca1_d__VS__ca1_v"
"237","ca1_v","ca1_d","ENSMUSG00000045875","Adra1a","Alpha-1A adrenergic receptor",1,1,"ADRA1A","ca1_v__VS__ca1_d"
"238","ca1_v","ca1_d","ENSMUSG00000005705","Agrp","Agouti-related protein",1,0,"AGRP","ca1_v__VS__ca1_d"
"239","ca1_v","ca1_d","ENSMUSG00000019929","Dcn","Decorin",1,1,"DCN","ca1_v__VS__ca1_d"
"240","ca1_v","ca1_d","ENSMUSG00000031380","Figf","Vascular endothelial growth factor D",0,0,"FIGF","ca1_v__VS__ca1_d"
"241","ca1_v","ca1_d","ENSMUSG00000091479","Gm17035","-",0,0,"GM17035","ca1_v__VS__ca1_d"
"242","ca1_v","ca1_d","ENSMUSG00000039579","Grin3a","-",1,1,"GRIN3A","ca1_v__VS__ca1_d"
"243","ca1_v","ca1_d","ENSMUSG00000039706","Ldb2","LIM domain-binding protein 2",1,1,"LDB2","ca1_v__VS__ca1_d"
"244","ca1_v","ca1_d","ENSMUSG00000005125","Ndrg1","Protein NDRG1",0,0,"NDRG1","ca1_v__VS__ca1_d"
"245","ca1_v","ca1_d","ENSMUSG00000027977","Ndst3","Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 3; Sulfotransferase",1,0,"NDST3","ca1_v__VS__ca1_d"
"246","ca1_v","ca1_d","ENSMUSG00000037362","Nov","Protein NOV homolog",1,1,"NOV","ca1_v__VS__ca1_d"
"247","ca1_v","ca1_d","ENSMUSG00000026249","Serpine2","Glia-derived nexin",1,1,"SERPINE2","ca1_v__VS__ca1_d"
"248","ca1_v","ca1_d","ENSMUSG00000041272","Tox","Thymocyte selection-associated high mobility group box protein TOX",1,1,"TOX","ca1_v__VS__ca1_d"
